recipe_id,ingredient_name
105,low-salt soy sauce
105,sesame oil
105,rice vinegar
105,brown sugar
106,"1 small, ripe pineapple"
106,unsalted butter
106,self-raising flour
106,milk
106,2 passion fruits
106,golden caster sugar
106,room temperature
106,1 vanilla pod
106,icing sugar
106,1 passion fruit
106,milk
107,dark chocolate
107,golden syrup
107,carton double cream
107,instant coffee granules
107,cinnamon
107,cocoa powder
108,salted butter
108,tahini
108,caster sugar
108,vanilla extract
108,cinnamon
108,thick slices
108,dark chocolate
108,half lengthways
108,sesame seeds
109,cider vinegar
109,limes
109,chipotle paste
109,garlic cloves crushed
109,ground
109,cumin
109,oregano
109,bay leaves
109,light brown soft sugar
109,large pieces
109,beef stock
109,6 large or 12 small soft  tacos
109,coriander
109,pickled red onion
110,butter
110,organic chicken
110,sliced brioche
110,cornichons
110,chutney
110,sea salt flakes
111,2cm cubes
111,rashers back bacon
111,red pepper cut
111,eggs
111,feta
111,parsley
112,chicken wings
112,cayenne pepper
112,garlic granules
112,celery salt
112,golden caster sugar
112,mustard powder
112,vegetable oil
112,cider vinegar
112,paprika
112,worcestershire sauce
112,hot chilli sauce
112,maple syrup
112,chipotle paste
113,breadcrumbs
113,milk
113,apples
113,extra mature cheddar
113,pork mince
113,mixed herbs
113,garlic granules
113,onion granules
113,egg
113,crusty bread
113,olive oil
113,unsalted butter
113,garlic cloves crushed
113,chilli flakes
113,passata
113,basil
113,caster sugar
114,ripe mangoes
114,milk
114,soft butter
114,strong white flour
114,light muscovado sugar
114,sachet fast-action dried yeast
114,eggs
114,raisin
115,vegetable oil
115,lean beef mince
115,onion
115,garlic
115,taco seasoning
115,spicy tomato salsa
115,black beans
115,frozen
115,shredded monterey jack
115,tortilla chips
115,mexican crema
115,guacamole
115,sliced red
115,chopped coriander
115,pico de gallo
116,chicken legs
116,lemon
116,olive oil
116,spring greens
116,leeks
116,garlic
116,chicken stock
116,butter beans
116,crème fraîche
116,parsley
116,chives
116,dill
116,garlic clove
116,capers
116,red wine vinegar
116,extra virgin olive oil
116,parmesan shavings
117,strawberries
117,caster sugar
117,elderflower cordial
117,double cream
117,full-fat greek yogurt
118,dry roasted peanuts
118,vegetable oil
118,tamarind concentrate
118,gula melaka palm sugar
118,coriander
118,kecap manis
118,red chillies
118,garlic
118,shallots
118,lemongrass stalk
118,galangal
119,olive oil
119,butter
119,onion
119,leeks
119,garlic cloves crushed
119,sage
119,thyme sprigs leaves
119,flour
119,chicken stock cube
119,cooked  gammon
119,butter beans
119,mascarpone
119,dijon mustard
119,all-butter puff pastry
119,egg
120,red onion
120,cherry tomatoes
120,mild
120,chickpeas
120,skinless salmon fillets
120,1 large or 2 small  naan
120,fat-free  yogurt
120,lemon wedges
121,olive oil
121,butter
121,onion
121,sausagemeat
121,1 lemon
121,white breadcrumbs
121,chestnut
121,chopped fresh
121,cranberries
121,boneless
121,ready-made shortcrust pastry
121,egg
122,hibiscus flowers
122,clear  honey
123,sweet shortcrust pastry
123,flour
123,butter
123,caster sugar
123,lemon
123,eggs
123,almond extract
123,white breadcrumbs
123,almonds
123,raspberry jam
123,icing sugar
123,raspberry
123,flaked almonds
124,flour
124,butter
124,dark muscovado sugar
124,pecan
124,powder
124,bicarbonate
124,cinnamon
124,soured cream
124,egg
124,apples
124,milk
125,mixture
125,apricot
125,cranberries
125,mixed peel
125,brandy
125,1  lemon
125,juice
125,suet
125,100g fresh or frozen  cranberry
125,soft brown sugar
125,cinnamon
125,nutmeg
126,light cream cheese
126,mild cheddar
126,red pepper
126,celery stick
126,pitta bread
127,cumin seeds
127,chickpeas
127,small dice
127,red onion
